X,org,req,grant,schoolyr,deny,prop_grant,bipoc,community
1,Duke Mock Trial,30350,16300,2019-2020,14050,0.537067545304778,N,Non-BIPOC
2,Duke Student Government,15000,15000,2019-2020,0,1,N,Non-BIPOC
3,Duke International Relations Association (DIRA),24276.2,12355,2019-2020,11921.2,0.508934676761602,N,Non-BIPOC
4,Camp Kesem Duke,14000,10000,2019-2020,4000,0.714285714285714,N,Non-BIPOC
5,Duke Robotics Club,36570,10000,2019-2020,26570,0.273448181569593,N,Non-BIPOC
6,Duke University EMS,13333,8591,2019-2020,4742,0.644341108527713,N,Non-BIPOC
7,Duke Rhydhun,24158.32,8344.16,2019-2020,15814.16,0.345394878451813,Y,Asian
8,National Society of Black Engineers,23575,7970,2019-2020,15605,0.338069989395546,Y,Black
9,Duke Dhamaka,30385,7490,2019-2020,22895,0.246503208820142,Y,Asian
10,Duke Speech Team,19198,7200,2019-2020,11998,0.375039066569434,N,Non-BIPOC
11,FORM Magazine,11840,5840,2019-2020,6000,0.493243243243243,N,Non-BIPOC
12,Duke Quidditch,10530,5800,2019-2020,4730,0.550807217473884,N,Non-BIPOC
13,Duke InterVarsity Christian Fellowship,15225,5700,2019-2020,9525,0.374384236453202,N,Non-BIPOC
14,Duke Archery Club,9136.63,5196.65,2019-2020,3939.98,0.568770980109734,N,Non-BIPOC
15,Duke Moot Court,16770,5160,2019-2020,11610,0.307692307692308,N,Non-BIPOC
16,Duke Lasya,10250,5000,2019-2020,5250,0.48780487804878,Y,Asian
17,Blue Devils United,10370,4805,2019-2020,5565,0.463355834136933,N,Non-BIPOC
18,The Gatekeepers,11058,4800,2019-2020,6258,0.434074877916441,N,Non-BIPOC
19,Minority Association of Pre-Medical Students,16950,4640,2019-2020,12310,0.273746312684366,Y,Multicultural group
20,Duke Ballroom Dance Club,10825,4500,2019-2020,6325,0.415704387990762,N,Non-BIPOC
21,The Archive,8780,4330,2019-2020,4450,0.493166287015945,N,Non-BIPOC
22,Duke Catholic Center,12945,4280,2019-2020,8665,0.330629586713017,N,Non-BIPOC
23,"Delta Sigma Theta Sorority, Inc.",8135,4160,2019-2020,3975,0.511370620774432,Y,Black
24,Duke University Shotgun Sports,19849.99,4117.99,2019-2020,15732,0.207455520128725,N,Non-BIPOC
25,Duke Student Government,4000,4000,2019-2020,0,1,N,Non-BIPOC
