dateOfSenateMeeting,orgName,totalRequested,totalGranted,
09-07-2016,Asian Students Association,7114,4084,
09-07-2016,Chinese Students Association,3525,1400,
09-07-2016,Kappa Alpha Theta,1757,1757,
09-07-2016,Pi Kappa Phi,5000,5000,
09-21-2016,Kappa Alpha Order,5305,4305,
9-28-2016,CrossFit Blue Devil,2343.9,2343.9,
10-05-2016,Duke Diya,1865,1865,
10-05-2016,International Association,10005,6560,
10-05-2016,Phi Beta Sigma,5750,3875,
10-19-2016,Catholic Center,2180,1650,
10-19-2016,Duke Diya,3925,3025,
10-19-2016,Lambda Phi Epsilon,7500,3500,
10-19-2016,We Are Here Duke,2005,2005,
10-26-2016,"Environmental Alliance, Native American Student Alliance",2700,1850,
10-26-2016,Public Policy Studies Majors Union,2545,1645,
11-02-2016,Brownstone Mirecourt AEPi Pike,2290,2290,with Brownstone fund code tho
11-02-2016,Duke Dance Marathon,10019.68,8729.68,
11-02-2016,Multicultural Greek Council,1520.28,1520.28,
,,,,
08-27-2019,Acapella Council,4410.62,4410.62,
08-27-2019,Asian Students Association,1042,1042,
08-27-2019,Asian Students Association,390,320,
08-27-2019,Black Men's Union,1400,900,
08-27-2019,Blue Devils United,90,60,
08-27-2019,Black Student Alliance,220,150,
08-27-2019,Challah for Hunger,298,245,
08-27-2019,Duke Consulting Club,250,250,
08-27-2019,duARTS,1672,916,
08-27-2019,Duke CommuniTEA,120,55,
08-27-2019,Duke Undergraduate Machine Learning,100,100,
08-27-2019,Duke Archery,720,720,
08-27-2019,Duke Chinese Student Association,799,0,
08-27-2019,Duke Dance Council,4005.8,3363,
08-27-2019,Duke Symphony Orchestra,1640.75,1640.75,
08-27-2019,Freshly Squeezed Pulp,50,20,
08-27-2019,Hoof'n'Horn,995.5,995.5,
08-27-2019,Minority Association of Premedical Students,150,100,
08-27-2019,Neurocare,9557.78,0,
08-27-2019,PASH,70,70,
08-27-2019,Phi Beta Sigma,470,395,
08-27-2019,Planned Parenthood Generation Action Duke,160,150,
08-27-2019,Duke Disability Alliance,228.92,150,
08-27-2019,Asian Intervarsity Christian Fellowship,130,130,
08-27-2019,Taiwanese American Students Association,120,120,
08-27-2019,Duke Southeast Asian Students Association,215,150,
08-27-2019,The Alexander Hamilton Society,490,150,
08-27-2019,SOCA,279,64,
09-04-2019,CommuniTEA,1500,1500,
