"","org","req","grant"
"1","Duke Mock Trial",30350,16300
"2","Duke Student Government",15000,15000
"3","Duke International Relations Association (DIRA)",24276.2,12355
"4","Camp Kesem Duke",14000,10000
"5","Duke Robotics Club",36570,10000
"6","Duke University EMS",13333,8591
"7","Duke Rhydhun",24158.32,8344.16
"8","National Society of Black Engineers",23575,7970
"9","Duke Dhamaka",30385,7490
"10","Duke Speech Team",19198,7200
"11","FORM Magazine",11840,5840
"12","Duke Quidditch",10530,5800
"13","Duke InterVarsity Christian Fellowship",15225,5700
"14","Duke Archery Club",9136.63,5196.65
"15","Duke Moot Court",16770,5160
"16","Duke Lasya",10250,5000
"17","Blue Devils United",10370,4805
"18","The Gatekeepers",11058,4800
"19","Minority Association of Pre-Medical Students",16950,4640
"20","Duke Ballroom Dance Club",10825,4500
"21","The Archive",8780,4330
"22","Duke Catholic Center",12945,4280
"23","Delta Sigma Theta Sorority, Inc.",8135,4160
"24","Duke University Shotgun Sports",19849.99,4117.99
"25","Duke Student Government",4000,4000
"26","Nakisai African Dance Ensemble",10052,3916
"27","Omega Psi Phi Fraternity, Inc.",7900,3640
"28","Hoof 'n' Horn",9672.49,3508.49
"29","Phi Beta Sigma Fraternity, Inc.",18580,3460
"30","Duke Quiz Bowl",5220,3255
"31","Duke College Republicans",9880,3190
"32","Duke Global Public Health Brigades",5050,3075
"33","Duke Dance Council",50000,3000
"34","Alpha Kappa Alpha Sorority, Inc.",12193,2950
"35","Duke Investment Club",6143.05,2913.05
"36","Alpha Phi Omega",8188.5,2733.5
"37","Duke Chinese Theater",6230,2355
"38","Engineering World Health",8250,2350
"39","Every Nation Campus - Duke",5734.5,2235
"40","Duke Student Government",2200,2200
"41","duARTS",12320,2150
"42","Duke Amandla Chorus",9452,2100
"43","Devils en Pointe",2228,2084
"44","TAMID at Duke",3100.17,2082
"45","Duke University A Cappella Council",4461,2030
"46","Duke National Association for the Advancement of Colored People",4165,1995
"47","GlobeMed at Duke",3215,1960
"48","Street Medicine",3293,1885
"49","Duke Dance Expressions",3095,1855
