"","org","req","grant","schoolyr","deny","prop_grant"
"1","Blue Devils United",58438.17,37851.68,"2017-2018",20586.49,0.647721857135499
"2","Duke Catholic Center",37799.24,30839.61,"2017-2018",6959.63,0.815879102331158
"3","Duke East Asian Nexus",24309.89,6160.04,"2017-2018",18149.85,0.253396457162085
"4","Arts Annex Advisory Board",22984,5795,"2017-2018",17189,0.2521319178559
"5","International Association",20234.4,12534,"2017-2018",7700.4,0.619440161309453
"6","Duke Africa",20138,16202,"2017-2018",3936,0.804548614559539
"7","Singapore Students Association",19085,12585,"2017-2018",6500,0.659418391406864
"8","Jewish Student Union",17225.69,6255.2,"2017-2018",10970.49,0.363132042896395
"9","Kappa Alpha Psi Fraternity, Inc.",15973,5385.5,"2017-2018",10587.5,0.337162712076629
"10","Duke Conservation Tech",14595,10735.5,"2017-2018",3859.5,0.735560123329908
"11","TEDxDuke",13035,6445,"2017-2018",6590,0.494438051400077
"12","Asian Students Association",12500,11350,"2017-2018",1150,0.908
"13","Duke Disability Alliance",12145.98,9142,"2017-2018",3003.98,0.752677017416462
"14","Statistics Major Union",11500,8975,"2017-2018",2525,0.780434782608696
"15","Duke Chinese Theater",10984.15,9398.15,"2017-2018",1586,0.855610129140625
"16","Business Oriented Women",10505.58,5205.58,"2017-2018",5300,0.495506197658768
"17","Duke University Student Dining Advisory Committee",10000,2000,"2017-2018",8000,0.2
"18","Asian American Alliance",9500,0,"2017-2018",9500,0
"19","A Cappella Council",8610,3010,"2017-2018",5600,0.349593495934959
"20","Duke Swing",8331.14,7040,"2017-2018",1291.14,0.845022409898285
"21","Alpha Kappa Alpha Sorority, Inc.",7902,2173,"2017-2018",5729,0.274993672487978
"22","DuArts",7676.08,7010.51,"2017-2018",665.57,0.913292982876677
"23","Phi Beta Sigma Fraternity, Inc.",7619.1,5798,"2017-2018",1821.1,0.760982268246906
"24","Interfraternity Council",7500,6500,"2017-2018",1000,0.866666666666667
"25","National Alliance on Mental Illness",7477.44,6690.66,"2017-2018",786.78,0.894779496726152
